Brand,ID,Type,Branch Name,Town,Postcode,Lat,Long,MonOp,MonCls,TueOp,TueCls,WedOp,WedCls,ThuOp,ThuCls,FriOp,FriCls,SatOp,SatCls,SunOp,SunCls
Lloyds Bank,77091700,Physical,Penzance,Penzance,TR18 2TN,50.1187,-5.537031,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30985700,Physical,Falmouth,Falmouth,TR11 3RA,50.155191,-5.071799,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77091400,Physical,Camborne,Camborne,TR14 8JT,50.21365,-5.300422,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30987600,Physical,Truro,Truro,TR1 2QT,50.263165,-5.051229,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,15:00,,
Lloyds Bank,30972800,Physical,St Austell,St Austell,PL25 5AZ,50.337326,-4.794514,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77092300,Physical,Plymstock,Plymouth,PL9 7AD,50.359769,-4.092399,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30966800,Physical,Plymouth,Plymouth,PL1 1DS,50.370607,-4.139644,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30945800,Physical,Ivybridge,Ivybridge,PL21 9AD,50.389133,-3.921642,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30177200,Physical,Saltash,Saltash,PL12 6AJ,50.408529,-4.211622,09:00,15:30,09:00,15:30,09:00,15:30,,,09:00,15:30,,,,
Lloyds Bank,30657900,Physical,Newquay,Newquay,TR7 2RU,50.417538,-5.064037,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30986900,Physical,Totnes,Totnes,TQ9 5HH,50.431217,-3.684776,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30880400,Physical,Paignton,Paignton,TQ3 3ER,50.435514,-3.568144,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30677900,Physical,Liskeard,Liskeard,PL14 6AW,50.455296,-4.465255,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30986700,Physical,Torquay,Torquay,TQ2 5DW,50.46388,-3.526942,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77091000,Physical,Bodmin,Bodmin,PL31 2HP,50.470998,-4.721013,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30989800,Physical,Wadebridge,Wadebridge,PL27 7DE,50.51665,-4.836651,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30846700,Physical,Newton Abbot,Newton Abbot,TQ12 2QW,50.530668,-3.609857,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,77101300,Physical,Teignmouth,Teignmouth,TQ14 8HW,50.546533,-3.49525,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77502900,Physical,Weymouth,Weymouth,DT4 8PA,50.610291,-2.454339,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,30949100,Physical,Launceston,Launceston,PL15 8AG,50.63662,-4.36052,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30991200,Physical,Wareham,Wareham,BH20 4LX,50.685827,-2.109618,09:00,15:30,09:00,15:30,09:00,15:30,,,09:00,15:30,,,,
Lloyds Bank,77251600,Physical,Newport (Isle of Wight),Newport,PO30 1SQ,50.699685,-1.294256,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,30747800,Physical,Seaton,Seaton,EX12 2QH,50.704513,-3.070768,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77502500,Physical,Poole,Poole,BH15 1AJ,50.714973,-1.984062,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
